# universal floor, scanned x <= 200000000, LMAX=900, overflow aborts=0
# L  need  mu_L   log2(mu_L)/L
266 168 6255855 0.084875
267 169 6649279 0.084887
268 170 6649279 0.084570
269 170 6649279 0.084256
270 171 6649279 0.083944
271 171 6649279 0.083634
272 172 6649279 0.083326
273 173 6649279 0.083021
274 173 6649279 0.082718
275 174 6649279 0.082417
276 175 6649279 0.082119
277 175 6649279 0.081822
278 176 6649279 0.081528
279 177 6649279 0.081236
280 177 6649279 0.080946
281 178 6649279 0.080658
282 178 6649279 0.080372
283 179 6649279 0.080088
284 180 6649279 0.079806
285 180 6649279 0.079525
286 181 6649279 0.079247
287 182 6649279 0.078971
288 182 6649279 0.078697
289 183 6649279 0.078425
290 183 6649279 0.078154
291 184 6649279 0.077886
292 185 6649279 0.077619
293 185 6649279 0.077354
294 186 6649279 0.077091
295 187 6649279 0.076830
296 187 6649279 0.076570
297 188 6649279 0.076312
298 189 6649279 0.076056
299 189 6649279 0.075802
300 190 6649279 0.075549
301 190 6649279 0.075298
302 191 6649279 0.075049
303 192 8865705 0.076171
304 192 8865705 0.075920
305 193 10507503 0.076475
306 194 10507503 0.076225
307 194 10507503 0.075977
308 195 10507503 0.075730
309 195 10507503 0.075485
310 196 31355647 0.080330
311 197 39358695 0.081126
312 197 8400511 0.073725
313 198 8400511 0.073489
314 199 35212527 0.079839
315 199 8400511 0.073022
316 200 8400511 0.072791
317 201 8400511 0.072562
318 201 8400511 0.072333
319 202 11200681 0.073408
320 202 11200681 0.073178
321 203 14934241 0.074243
322 204 41464303 0.078588
323 204 19912321 0.075069
324 205 41464303 0.078103
325 206 41464303 0.077863
326 206 41464303 0.077624
327 207 55285737 0.078656
328 207 15733191 0.072888
329 208 15733191 0.072667
330 209 63728127 0.078562
331 209 63728127 0.078325
332 210 63728127 0.078089
333 211 63728127 0.077854
334 211 35212527 0.075059
335 212 63728127 0.077389
336 212 63728127 0.077159
337 213 63728127 0.076930
338 214 63728127 0.076702
339 214 63728127 0.076476
340 215 63728127 0.076251
341 216 63728127 0.076028
342 216 63728127 0.075805
343 217 63728127 0.075584
344 218 63728127 0.075365
345 218 63728127 0.075146
346 219 63728127 0.074929
347 219 63728127 0.074713
348 220 63728127 0.074498
349 221 63728127 0.074285
350 221 63728127 0.074073
351 222 63728127 0.073862
352 223 63728127 0.073652
353 223 63728127 0.073443
354 224 63728127 0.073236
355 224 63728127 0.073029
356 225 63728127 0.072824
357 226 63728127 0.072620
358 226 63728127 0.072417
359 227 63728127 0.072216
360 228 63728127 0.072015
361 228 63728127 0.071816
362 229 63728127 0.071617
363 230 63728127 0.071420
364 230 63728127 0.071224
365 231 63728127 0.071029
366 231 63728127 0.070834
367 232 63728127 0.070641
368 233 63728127 0.070450
369 233 63728127 0.070259
370 234 63728127 0.070069
371 235 63728127 0.069880
372 235 63728127 0.069692
373 236 63728127 0.069505
374 236 63728127 0.069319
375 237 63728127 0.069134
376 238 86010015 0.070101
377 238 63728127 0.068768
378 239 86010015 0.069730
379 240 86010015 0.069546
380 240 86010015 0.069363
381 241 86010015 0.069181
382 242 86010015 0.069000
383 242 86010015 0.068820
384 243 105707199 0.069415
385 243 105707199 0.069235
386 244 105707199 0.069056
387 245 105707199 0.068877
388 245 63728127 0.066818
389 246 156977263 0.069990
390 247 156977263 0.069810
391 247 156977263 0.069632
392 248 156977263 0.069454
393 248 63728127 0.065968
394 249 63728127 0.065801
395 250 63728127 0.065634
396 250 63728127 0.065468
397 251 63728127 0.065303
398 252 63728127 0.065139
399 252 63728127 0.064976
400 253 63728127 0.064814
401 254 63728127 0.064652
402 254 63728127 0.064491
403 255 63728127 0.064331
404 255 63728127 0.064172
405 256 63728127 0.064013
406 257 63728127 0.063856
407 257 63728127 0.063699
408 258 63728127 0.063543
409 259 63728127 0.063387
410 259 63728127 0.063233
411 260 63728127 0.063079
412 260 63728127 0.062926
413 261 63728127 0.062773
414 262 63728127 0.062622
415 262 63728127 0.062471
416 263 63728127 0.062321
417 264 63728127 0.062171
418 264 63728127 0.062023
419 265 169941673 0.065252
420 265 169941673 0.065096
# mu_421 > 200000000 (scan exhausted)
