# X-6170 uniform floors, scanned 2 <= n <= 100000000 (n=1 excluded: trivial cycle)
# L  s_L(sigma>L)  nu_L(density)  log2(s_L)/L  log2(nu_L)/L
182 1027431 1027431 0.109729 0.109729
183 1126015 1126015 0.109851 0.109851
184 1126015 1126015 0.109254 0.109254
185 1126015 1126015 0.108664 0.108664
186 1126015 1126015 0.108080 0.108080
187 1126015 1126015 0.107502 0.107502
188 1126015 1126015 0.106930 0.106930
189 1126015 1126015 0.106364 0.106364
190 1126015 1126015 0.105804 0.105804
191 1126015 1126015 0.105250 0.105250
192 1126015 1126015 0.104702 0.104702
193 1126015 1126015 0.104160 0.104160
194 1126015 1126015 0.103623 0.103623
195 1126015 1126015 0.103091 0.103091
196 1126015 1126015 0.102565 0.102565
197 1126015 1126015 0.102045 0.102045
198 1126015 1126015 0.101529 0.101529
199 1126015 1126015 0.101019 0.101019
200 1126015 1126015 0.100514 0.100514
201 1126015 1126015 0.100014 0.100014
202 1126015 1126015 0.099519 0.099519
203 1126015 1126015 0.099029 0.099029
204 1126015 1126015 0.098543 0.098543
205 1126015 1126015 0.098062 0.098062
206 1126015 1126015 0.097586 0.097586
207 1126015 1126015 0.097115 0.097115
208 1126015 1126015 0.096648 0.096648
209 1126015 1126015 0.096186 0.096186
210 1126015 1126015 0.095728 0.095728
211 1126015 1126015 0.095274 0.095274
212 1126015 1126015 0.094825 0.094825
213 1126015 1126015 0.094379 0.094379
214 1126015 1126015 0.093938 0.093938
215 1126015 1126015 0.093501 0.093501
216 1126015 1126015 0.093068 0.093068
217 1126015 1126015 0.092640 0.092640
218 1126015 1126015 0.092215 0.092215
219 1126015 1126015 0.091794 0.091794
220 1126015 1126015 0.091376 0.091376
221 1126015 1126015 0.090963 0.090963
222 1126015 1126015 0.090553 0.090553
223 1126015 1126015 0.090147 0.090147
224 8088063 8088063 0.102444 0.102444
225 8088063 8088063 0.101988 0.101988
226 8088063 8088063 0.101537 0.101537
227 8088063 8088063 0.101090 0.101090
228 8088063 8088063 0.100646 0.100646
229 8088063 8088063 0.100207 0.100207
230 8088063 8088063 0.099771 0.099771
231 8088063 8088063 0.099339 0.099339
232 8088063 8088063 0.098911 0.098911
233 8088063 8088063 0.098487 0.098487
234 8088063 8088063 0.098066 0.098066
235 8088063 8088063 0.097648 0.097648
236 8088063 8088063 0.097235 0.097235
237 8088063 8088063 0.096824 0.096824
238 8088063 8088063 0.096417 0.096417
239 8088063 8088063 0.096014 0.096014
240 8088063 8088063 0.095614 0.095614
241 8088063 8088063 0.095217 0.095217
242 8088063 8088063 0.094824 0.094824
243 8088063 8088063 0.094434 0.094434
244 8088063 8088063 0.094047 0.094047
245 8088063 8088063 0.093663 0.093663
246 13421671 13421671 0.096252 0.096252
247 13421671 13421671 0.095863 0.095863
248 13421671 13421671 0.095476 0.095476
249 13421671 13421671 0.095093 0.095093
250 13421671 13421671 0.094712 0.094712
251 13421671 13421671 0.094335 0.094335
252 13421671 13421671 0.093961 0.093961
253 13421671 13421671 0.093589 0.093589
254 13421671 13421671 0.093221 0.093221
255 13421671 13421671 0.092855 0.092855
256 13421671 13421671 0.092492 0.092492
257 13421671 13421671 0.092133 0.092133
258 13421671 13421671 0.091775 0.091775
259 13421671 13421671 0.091421 0.091421
260 13421671 13421671 0.091069 0.091069
261 13421671 13421671 0.090721 0.090721
262 13421671 13421671 0.090374 0.090374
263 13421671 13421671 0.090031 0.090031
264 13421671 13421671 0.089690 0.089690
265 13421671 13421671 0.089351 0.089351
266 13421671 13421671 0.089015 0.089015
267 13421671 13421671 0.088682 0.088682
268 13421671 13421671 0.088351 0.088351
269 13421671 13421671 0.088023 0.088023
270 13421671 13421671 0.087697 0.087697
271 13421671 13421671 0.087373 0.087373
272 13421671 13421671 0.087052 0.087052
273 13421671 13421671 0.086733 0.086733
274 13421671 13421671 0.086416 0.086416
275 13421671 13421671 0.086102 0.086102
276 13421671 13421671 0.085790 0.085790
277 13421671 13421671 0.085480 0.085480
278 13421671 13421671 0.085173 0.085173
279 13421671 13421671 0.084868 0.084868
280 13421671 13421671 0.084565 0.084565
281 13421671 13421671 0.084264 0.084264
282 13421671 13421671 0.083965 0.083965
283 13421671 13421671 0.083668 0.083668
284 13421671 13421671 0.083373 0.083373
285 13421671 13421671 0.083081 0.083081
286 13421671 13421671 0.082790 0.082790
287 20638335 20638335 0.084665 0.084665
288 20638335 20638335 0.084371 0.084371
289 20638335 20638335 0.084079 0.084079
290 20638335 20638335 0.083789 0.083789
291 20638335 20638335 0.083501 0.083501
292 26716671 26716671 0.084491 0.084491
293 26716671 26716671 0.084202 0.084202
294 26716671 26716671 0.083916 0.083916
295 26716671 26716671 0.083631 0.083631
296 26716671 26716671 0.083349 0.083349
297 26716671 26716671 0.083068 0.083068
298 56924955 56924955 0.086452 0.086452
299 56924955 56924955 0.086162 0.086162
300 56924955 56924955 0.085875 0.085875
301 56924955 56924955 0.085590 0.085590
302 56924955 56924955 0.085306 0.085306
303 56924955 56924955 0.085025 0.085025
304 56924955 56924955 0.084745 0.084745
305 56924955 56924955 0.084467 0.084467
306 56924955 56924955 0.084191 0.084191
307 56924955 56924955 0.083917 0.083917
308 63728127 63728127 0.084173 0.084173
309 63728127 63728127 0.083901 0.083901
310 63728127 63728127 0.083630 0.083630
311 63728127 63728127 0.083362 0.083362
312 63728127 63728127 0.083094 0.083094
313 63728127 63728127 0.082829 0.082829
314 63728127 63728127 0.082565 0.082565
315 63728127 63728127 0.082303 0.082303
316 63728127 63728127 0.082042 0.082042
317 63728127 63728127 0.081784 0.081784
318 63728127 63728127 0.081526 0.081526
319 63728127 63728127 0.081271 0.081271
320 63728127 63728127 0.081017 0.081017
321 63728127 63728127 0.080765 0.080765
322 63728127 63728127 0.080514 0.080514
323 63728127 63728127 0.080264 0.080264
324 63728127 63728127 0.080017 0.080017
325 63728127 63728127 0.079771 0.079771
326 63728127 63728127 0.079526 0.079526
327 63728127 63728127 0.079283 0.079283
328 63728127 63728127 0.079041 0.079041
329 63728127 63728127 0.078801 0.078801
330 63728127 63728127 0.078562 0.078562
331 63728127 63728127 0.078325 0.078325
332 63728127 63728127 0.078089 0.078089
333 63728127 63728127 0.077854 0.077854
334 63728127 63728127 0.077621 0.077621
335 63728127 63728127 0.077389 0.077389
336 63728127 63728127 0.077159 0.077159
337 63728127 63728127 0.076930 0.076930
338 63728127 63728127 0.076702 0.076702
339 63728127 63728127 0.076476 0.076476
340 63728127 63728127 0.076251 0.076251
341 63728127 63728127 0.076028 0.076028
342 63728127 63728127 0.075805 0.075805
343 63728127 63728127 0.075584 0.075584
344 63728127 63728127 0.075365 0.075365
345 63728127 63728127 0.075146 0.075146
346 63728127 63728127 0.074929 0.074929
347 63728127 63728127 0.074713 0.074713
348 63728127 63728127 0.074498 0.074498
349 63728127 63728127 0.074285 0.074285
350 63728127 63728127 0.074073 0.074073
351 63728127 63728127 0.073862 0.073862
352 63728127 63728127 0.073652 0.073652
353 63728127 63728127 0.073443 0.073443
354 63728127 63728127 0.073236 0.073236
355 63728127 63728127 0.073029 0.073029
356 63728127 63728127 0.072824 0.072824
357 63728127 63728127 0.072620 0.072620
358 63728127 63728127 0.072417 0.072417
359 63728127 63728127 0.072216 0.072216
360 63728127 63728127 0.072015 0.072015
361 63728127 63728127 0.071816 0.071816
362 63728127 63728127 0.071617 0.071617
363 63728127 63728127 0.071420 0.071420
364 63728127 63728127 0.071224 0.071224
365 63728127 63728127 0.071029 0.071029
366 63728127 63728127 0.070834 0.070834
367 63728127 63728127 0.070641 0.070641
368 63728127 63728127 0.070450 0.070450
369 63728127 63728127 0.070259 0.070259
370 63728127 63728127 0.070069 0.070069
371 63728127 63728127 0.069880 0.069880
372 63728127 63728127 0.069692 0.069692
373 63728127 63728127 0.069505 0.069505
374 63728127 63728127 0.069319 0.069319
375 63728127 63728127 0.069134 0.069134
# both exhausted at L=376 (> 100000000)
