Deep template cylinders rarely remain compatible with supercritical excursions; when CRT gluing works, post-excursion template periods are the congruence-destruction metric.
usable growth cases=12 / 48
  tpl=1 exc=11 m=20 periods_after=23 growth=2.250
  tpl=1 exc=1111 m=20 periods_after=21 growth=5.063
  tpl=1 exc=11 m=16 periods_after=19 growth=2.250
  tpl=1 exc=1111 m=16 periods_after=17 growth=5.063
  tpl=1 exc=11 m=12 periods_after=15 growth=2.250
  tpl=1 exc=1111 m=12 periods_after=13 growth=5.063
  tpl=1 exc=11 m=8 periods_after=11 growth=2.255
  tpl=1 exc=1111 m=8 periods_after=9 growth=5.078
