Scheduled dip/repair epochs on -17: require ≥4 epochs ending at depth≥3 with +10 bit gain for a fuel-engine hit.
seeds=90 success=0 max_epochs=1 max_bit_gain=2
  epochs=1 bit_gain=2 final_depth=2 final=4571
  epochs=1 bit_gain=2 final_depth=2 final=9179
  epochs=1 bit_gain=2 final_depth=2 final=18395
  epochs=1 bit_gain=2 final_depth=2 final=36827
  epochs=1 bit_gain=2 final_depth=2 final=69083
  epochs=1 bit_gain=2 final_depth=2 final=73691
  epochs=1 bit_gain=2 final_depth=2 final=133595
  epochs=1 bit_gain=2 final_depth=2 final=138203
