# X-6180 coverage depth profile, X = 10000000, overflow paths = 0, max depth = 429
# d  coverage(d)  fraction  log(coverage)/log(X)
0 1 0.000000100 0.000000
5 9 0.000000900 0.136320
10 44 0.000004400 0.234779
15 206 0.000020600 0.330552
20 855 0.000085500 0.418852
25 3560 0.000356000 0.507350
30 14098 0.001409800 0.592737
35 46509 0.004650900 0.666791
40 126098 0.012609800 0.728673
45 272287 0.027228700 0.776432
50 507216 0.050721600 0.815028
55 829176 0.082917600 0.845521
60 1197603 0.119760300 0.868330
65 1648669 0.164866900 0.888162
70 2130973 0.213097300 0.904083
75 2661889 0.266188900 0.917884
80 3148933 0.314893300 0.928309
85 3660736 0.366073600 0.937653
90 4110857 0.411085700 0.944847
95 4553560 0.455356000 0.951193
100 5021208 0.502120800 0.957258
105 5509108 0.550910800 0.963012
110 5971455 0.597145500 0.968011
115 6414390 0.641439000 0.972451
120 6874718 0.687471800 0.976751
125 7244828 0.724482800 0.980004
130 7648368 0.764836800 0.983367
135 8001052 0.800105200 0.986164
140 8357444 0.835744400 0.988868
145 8611328 0.861132800 0.990724
150 8869158 0.886915800 0.992555
155 9069029 0.906902900 0.993937
160 9228817 0.922881700 0.995021
165 9360226 0.936022600 0.995898
170 9489021 0.948902100 0.996746
175 9588473 0.958847300 0.997393
180 9666598 0.966659800 0.997896
185 9734209 0.973420900 0.998329
190 9779574 0.977957400 0.998617
195 9825319 0.982531900 0.998907
200 9860510 0.986051000 0.999128
205 9892893 0.989289300 0.999332
210 9913132 0.991313200 0.999459
215 9933472 0.993347200 0.999586
220 9947536 0.994753600 0.999674
225 9958630 0.995863000 0.999743
230 9966790 0.996679000 0.999794
235 9975122 0.997512200 0.999845
240 9980626 0.998062600 0.999880
245 9984819 0.998481900 0.999906
250 9988228 0.998822800 0.999927
255 9990452 0.999045200 0.999941
260 9992695 0.999269500 0.999955
265 9994249 0.999424900 0.999964
270 9995692 0.999569200 0.999973
275 9996504 0.999650400 0.999978
280 9997354 0.999735400 0.999984
285 9997926 0.999792600 0.999987
290 9998389 0.999838900 0.999990
295 9998701 0.999870100 0.999992
300 9998980 0.999898000 0.999994
305 9999180 0.999918000 0.999995
310 9999300 0.999930000 0.999996
315 9999400 0.999940000 0.999996
320 9999486 0.999948600 0.999997
325 9999583 0.999958300 0.999997
330 9999693 0.999969300 0.999998
335 9999799 0.999979900 0.999999
340 9999841 0.999984100 0.999999
345 9999887 0.999988700 0.999999
350 9999916 0.999991600 0.999999
355 9999944 0.999994400 1.000000
360 9999962 0.999996200 1.000000
365 9999974 0.999997400 1.000000
370 9999981 0.999998100 1.000000
375 9999986 0.999998600 1.000000
380 9999990 0.999999000 1.000000
385 9999993 0.999999300 1.000000
390 9999996 0.999999600 1.000000
395 9999996 0.999999600 1.000000
400 9999996 0.999999600 1.000000
405 9999996 0.999999600 1.000000
410 9999996 0.999999600 1.000000
415 9999997 0.999999700 1.000000
420 9999999 0.999999900 1.000000
425 9999999 0.999999900 1.000000
429 10000000 1.000000000 1.000000
