# X-6180 coverage depth profile, X = 1000000000, overflow paths = 0, max depth = 616
# d  coverage(d)  fraction  log(coverage)/log(X)
0 1 0.000000001 0.000000
5 9 0.000000009 0.106027
10 44 0.000000044 0.182606
15 206 0.000000206 0.257096
20 855 0.000000855 0.325774
25 3573 0.000003573 0.394781
30 15065 0.000015065 0.464219
35 62865 0.000062865 0.533157
40 247194 0.000247194 0.599226
45 856323 0.000856323 0.659182
50 2476342 0.002476342 0.710423
55 6009478 0.006009478 0.753204
60 12708603 0.012708603 0.789344
65 23014550 0.023014550 0.818000
70 38350137 0.038350137 0.842641
75 58853095 0.058853095 0.863308
80 86422022 0.086422022 0.881847
85 117273481 0.117273481 0.896578
90 152451536 0.152451536 0.909237
95 190441183 0.190441183 0.919973
100 227968733 0.227968733 0.928653
105 270108256 0.270108256 0.936838
110 313649548 0.313649548 0.944049
115 359527035 0.359527035 0.950637
120 401197153 0.401197153 0.955929
125 447759785 0.447759785 0.961227
130 489745903 0.489745903 0.965552
135 533464357 0.533464357 0.969678
140 574776198 0.574776198 0.973278
145 621388185 0.621388185 0.977040
150 661384834 0.661384834 0.980050
155 700576869 0.700576869 0.982828
160 736211275 0.736211275 0.985222
165 766623273 0.766623273 0.987176
170 797745842 0.797745842 0.989096
175 826052740 0.826052740 0.990779
180 850804212 0.850804212 0.992203
185 870914603 0.870914603 0.993331
190 891634320 0.891634320 0.994465
195 906019484 0.906019484 0.995238
200 920419775 0.920419775 0.995998
205 932158003 0.932158003 0.996610
210 944319957 0.944319957 0.997235
215 952915240 0.952915240 0.997673
220 960910575 0.960910575 0.998076
225 967297361 0.967297361 0.998396
230 972356854 0.972356854 0.998647
235 977155414 0.977155414 0.998885
240 981310814 0.981310814 0.999090
245 984648070 0.984648070 0.999253
250 987197833 0.987197833 0.999378
255 989699651 0.989699651 0.999500
260 991276334 0.991276334 0.999577
265 992863119 0.992863119 0.999654
270 994089980 0.994089980 0.999714
275 995329509 0.995329509 0.999774
280 996105045 0.996105045 0.999812
285 996856462 0.996856462 0.999848
290 997421813 0.997421813 0.999875
295 997860149 0.997860149 0.999897
300 998250734 0.998250734 0.999916
305 998596497 0.998596497 0.999932
310 998858640 0.998858640 0.999945
315 999055545 0.999055545 0.999954
320 999240259 0.999240259 0.999963
325 999353419 0.999353419 0.999969
330 999468595 0.999468595 0.999974
335 999557157 0.999557157 0.999979
340 999646351 0.999646351 0.999983
345 999702251 0.999702251 0.999986
350 999759637 0.999759637 0.999988
355 999802948 0.999802948 0.999990
360 999836412 0.999836412 0.999992
365 999863838 0.999863838 0.999993
370 999891166 0.999891166 0.999995
375 999911930 0.999911930 0.999996
380 999928057 0.999928057 0.999997
385 999942723 0.999942723 0.999997
390 999952162 0.999952162 0.999998
395 999961951 0.999961951 0.999998
400 999969099 0.999969099 0.999999
405 999975578 0.999975578 0.999999
410 999979440 0.999979440 0.999999
415 999983299 0.999983299 0.999999
420 999986141 0.999986141 0.999999
425 999988539 0.999988539 0.999999
430 999990580 0.999990580 1.000000
435 999992790 0.999992790 1.000000
440 999994353 0.999994353 1.000000
445 999995531 0.999995531 1.000000
450 999996481 0.999996481 1.000000
455 999997096 0.999997096 1.000000
460 999997729 0.999997729 1.000000
465 999998170 0.999998170 1.000000
470 999998594 0.999998594 1.000000
475 999998823 0.999998823 1.000000
480 999999053 0.999999053 1.000000
485 999999182 0.999999182 1.000000
490 999999283 0.999999283 1.000000
495 999999382 0.999999382 1.000000
500 999999508 0.999999508 1.000000
505 999999615 0.999999615 1.000000
510 999999713 0.999999713 1.000000
515 999999767 0.999999767 1.000000
520 999999788 0.999999788 1.000000
525 999999810 0.999999810 1.000000
530 999999834 0.999999834 1.000000
535 999999858 0.999999858 1.000000
540 999999875 0.999999875 1.000000
545 999999884 0.999999884 1.000000
550 999999887 0.999999887 1.000000
555 999999893 0.999999893 1.000000
560 999999904 0.999999904 1.000000
565 999999921 0.999999921 1.000000
570 999999924 0.999999924 1.000000
575 999999925 0.999999925 1.000000
580 999999925 0.999999925 1.000000
585 999999925 0.999999925 1.000000
590 999999936 0.999999936 1.000000
595 999999965 0.999999965 1.000000
600 999999987 0.999999987 1.000000
605 999999996 0.999999996 1.000000
610 999999999 0.999999999 1.000000
615 999999999 0.999999999 1.000000
616 1000000000 1.000000000 1.000000
