# X-6180 coverage depth profile, X = 1000000, overflow paths = 0, max depth = 329
# d  coverage(d)  fraction  log(coverage)/log(X)
0 1 0.000001000 0.000000
5 9 0.000009000 0.159040
10 44 0.000044000 0.273909
15 206 0.000206000 0.385645
20 854 0.000854000 0.488576
25 3357 0.003357000 0.587659
30 10804 0.010804000 0.672264
35 27832 0.027832000 0.740757
40 56716 0.056716000 0.792284
45 95987 0.095987000 0.830369
50 147557 0.147557000 0.861493
55 200831 0.200831000 0.883805
60 255998 0.255998000 0.901373
65 312670 0.312670000 0.915848
70 370868 0.370868000 0.928203
75 420741 0.420741000 0.937336
80 468142 0.468142000 0.945063
85 516263 0.516263000 0.952145
90 556078 0.556078000 0.957523
95 602305 0.602305000 0.963303
100 648444 0.648444000 0.968645
105 697474 0.697474000 0.973921
110 738359 0.738359000 0.978045
115 783204 0.783204000 0.982312
120 819425 0.819425000 0.985585
125 851676 0.851676000 0.988379
130 878752 0.878752000 0.990644
135 906296 0.906296000 0.992878
140 927015 0.927015000 0.994514
145 942634 0.942634000 0.995724
150 954537 0.954537000 0.996632
155 962858 0.962858000 0.997260
160 971185 0.971185000 0.997884
165 977525 0.977525000 0.998355
170 982815 0.982815000 0.998745
175 986412 0.986412000 0.999010
180 990005 0.990005000 0.999273
185 992239 0.992239000 0.999436
190 993949 0.993949000 0.999561
195 995270 0.995270000 0.999657
200 996700 0.996700000 0.999761
205 997593 0.997593000 0.999826
210 998250 0.998250000 0.999873
215 998718 0.998718000 0.999907
220 999024 0.999024000 0.999929
225 999332 0.999332000 0.999952
230 999530 0.999530000 0.999966
235 999670 0.999670000 0.999976
240 999756 0.999756000 0.999982
245 999857 0.999857000 0.999990
250 999886 0.999886000 0.999992
255 999904 0.999904000 0.999993
260 999928 0.999928000 0.999995
265 999948 0.999948000 0.999996
270 999960 0.999960000 0.999997
275 999969 0.999969000 0.999998
280 999984 0.999984000 0.999999
285 999990 0.999990000 0.999999
290 999991 0.999991000 0.999999
295 999994 0.999994000 1.000000
300 999996 0.999996000 1.000000
305 999996 0.999996000 1.000000
310 999996 0.999996000 1.000000
315 999996 0.999996000 1.000000
320 999999 0.999999000 1.000000
325 999999 0.999999000 1.000000
329 1000000 1.000000000 1.000000
