# X-9902 exact least roots m_N = min S_N (full integers)
N=1 m=6472
N=2 m=1908874353
N=3 m=44906374791168
N=4 m=275202518480529950784
N=5 m=735266885070322294097984
N=6 m=49927377479016341945330731072
N=7 m=31262847560142629190894965371116657
N=8 m=181625992579115023082252809688279976000
N=9 m=274731072270742333628800865325991165013963264
N=10 m=1986427850123090115679978949016973174519765670216
