# chart (k,q) = (4,6): D = C(5,3) = 10,  dim = 0.55365,  predicted rate = 6.4000
# N  m_N  m_N/m_{N-1}  predicted  log(m_N)/N  log(rate)
1 7 0.000 6.4000 1.94591 1.85630
2 55 7.857 6.4000 2.00367 1.85630
3 83 1.509 6.4000 1.47295 1.85630
4 1761 21.217 6.4000 1.86841 1.85630
5 14459 8.211 6.4000 1.91581 1.85630
6 35155 2.431 6.4000 1.74459 1.85630
7 35155 1.000 6.4000 1.49536 1.85630
8 5335393 151.768 6.4000 1.93623 1.85630
9 7001209 1.312 6.4000 1.75129 1.85630
10 7001209 1.000 6.4000 1.57616 1.85630
11 110569609 15.793 6.4000 1.68374 1.85630
# m_12 > 300000000 (scan exhausted)
