# chart (k,q) = (5,7): D = C(6,4) = 15,  dim = 0.55813,  predicted rate = 8.5333
# N  m_N  m_N/m_{N-1}  predicted  log(m_N)/N  log(rate)
1 9 0.000 8.5333 2.19722 2.14398
2 47 5.222 8.5333 1.92507 2.14398
3 47 1.000 8.5333 1.28338 2.14398
4 3323 70.702 8.5333 2.02716 2.14398
5 78059 23.491 8.5333 2.25304 2.14398
6 244391 3.131 8.5333 2.06775 2.14398
7 6365523 26.046 8.5333 2.23806 2.14398
8 11121199 1.747 8.5333 2.02805 2.14398
# m_9 > 300000000 (scan exhausted)
