# chart (k,q) = (7,11): D = C(10,6) = 210,  dim = 0.70130,  predicted rate = 9.7524
# N  m_N  m_N/m_{N-1}  predicted  log(m_N)/N  log(rate)
1 39 0.000 9.7524 3.66356 2.27751
2 143 3.667 9.7524 2.48142 2.27751
3 199 1.392 9.7524 1.76443 2.27751
4 9703 48.759 9.7524 2.29505 2.27751
5 87785 9.047 9.7524 2.27653 2.27751
6 883775 10.067 9.7524 2.28199 2.27751
7 8356219 9.455 9.7524 2.27693 2.27751
8 36587983 4.379 9.7524 2.17690 2.27751
# m_9 > 300000000 (scan exhausted)
