# chart (k,q) = (3,4): D = C(3,2) = 3,  dim = 0.39624,  predicted rate = 5.3333
# N  m_N  m_N/m_{N-1}  predicted  log(m_N)/N  log(rate)
1 7 0.000 5.3333 1.94591 1.67398
2 41 5.857 5.3333 1.85679 1.67398
3 41 1.000 5.3333 1.23786 1.67398
4 327 7.976 5.3333 1.44749 1.67398
5 2215 6.774 5.3333 1.54060 1.67398
6 3227 1.457 5.3333 1.34655 1.67398
7 36489 11.307 5.3333 1.50068 1.67398
8 36489 1.000 5.3333 1.31310 1.67398
9 885737 24.274 5.3333 1.52158 1.67398
10 42705639 48.215 5.3333 1.75698 1.67398
11 45785415 1.072 5.3333 1.60359 1.67398
# m_12 > 300000000 (scan exhausted)
