# chart (k,q) = (12,19): D = C(18,11) = 31824,  dim = 0.78725,  predicted rate = 16.4746
# N  m_N  m_N/m_{N-1}  predicted  log(m_N)/N  log(rate)
1 97 0.000 16.4746 4.57471 2.80182
2 311 3.206 16.4746 2.86990 2.80182
3 4379 14.080 16.4746 2.79486 2.80182
4 48011 10.964 16.4746 2.69480 2.80182
5 2718043 56.613 16.4746 2.96308 2.80182
6 28148635 10.356 16.4746 2.85883 2.80182
7 178662751 6.347 16.4746 2.71443 2.80182
# m_8 > 300000000 (scan exhausted)
